domain,class,mcr,ns1,ns2,ns3,ns4,ns5,len,vcr,ncr
firstthings,legit,16.363636363636363,3438.5454545454545,422.6,95.0,10.5,2.0,11.0,0.2222222222222222,0.0
sabaasa,legit,1.2857142857142858,3849.714285714286,130.5,1.8,0.0,0.0,7.0,1.3333333333333333,0.0
couponcloset,legit,28.0,3420.9166666666665,353.27272727272725,23.8,4.111111111111111,1.25,12.0,0.7142857142857143,0.0
vegyhcqcgqmcq,dga,0.23076923076923078,1666.2307692307693,48.833333333333336,0.18181818181818182,0.0,0.0,13.0,0.08333333333333333,0.0
schamvauknhzppdybmpivyaixsp,dga,1.3333333333333333,2194.5925925925926,76.61538461538461,4.0,0.20833333333333334,0.0,27.0,0.2857142857142857,0.0
sgyenfknaamx,dga,0.5,2767.4166666666665,127.0,0.3,0.0,0.0,12.0,0.3333333333333333,0.0
zapmeta,legit,10.285714285714286,3212.714285714286,208.66666666666666,11.8,1.0,0.0,7.0,0.75,0.0
apanpjrwlewedr,dga,4.714285714285714,3111.6428571428573,215.30769230769232,5.833333333333333,0.6363636363636364,0.0,14.0,0.4,0.0
cartelmovies,legit,46.25,3748.9166666666665,386.8181818181818,34.8,2.7777777777777777,0.625,12.0,0.7142857142857143,0.0
ffinsider,legit,63.666666666666664,3515.777777777778,557.75,63.285714285714285,12.0,5.8,9.0,0.5,0.0
smartshe,legit,12.375,3769.25,281.7142857142857,32.666666666666664,2.0,0.25,8.0,0.3333333333333333,0.0
betcityru,legit,9.666666666666666,3292.6666666666665,169.375,15.857142857142858,1.1666666666666667,0.0,9.0,0.5,0.0
yiepibydisnrh,dga,1.1538461538461537,3104.5384615384614,118.75,8.181818181818182,0.0,0.0,13.0,0.4444444444444444,0.0
sport365,legit,10.5,2262.0,185.85714285714286,34.5,12.2,1.5,8.0,0.14285714285714285,0.375
duuaffbsviqss,dga,4.153846153846154,2387.6923076923076,69.75,1.6363636363636365,0.0,0.0,13.0,0.4444444444444444,0.0
16valvulas,legit,15.3,2213.8,182.33333333333334,14.375,0.2857142857142857,0.0,10.0,0.42857142857142855,0.2
clipmoon,legit,7.5,3065.125,288.14285714285717,7.333333333333333,0.4,0.0,8.0,0.6,0.0
milffire,legit,20.625,3151.625,285.7142857142857,20.0,1.2,0.0,8.0,0.6,0.0
1ays64y16zq1tmi3h4na1alx4lz,dga,0.0,1535.888888888889,53.30769230769231,0.76,0.0,0.0,27.0,0.17391304347826086,0.37037037037037035
hxsptsofullfdjzbqhimfirk,dga,0.75,2056.7083333333335,92.8695652173913,3.1363636363636362,0.23809523809523808,0.0,24.0,0.2,0.0
gooschool,legit,8.666666666666666,2998.777777777778,155.5,9.0,2.1666666666666665,1.4,9.0,0.8,0.0
thebodyshop,legit,27.272727272727273,2747.2727272727275,140.1,17.555555555555557,1.625,0.14285714285714285,11.0,0.375,0.0
faillissementsdossier,legit,47.142857142857146,3973.714285714286,379.3,61.63157894736842,16.944444444444443,5.411764705882353,21.0,0.6153846153846154,0.0
insomnia,legit,24.75,3894.5,403.42857142857144,17.5,0.4,0.0,8.0,1.0,0.0
ibxqfortcbigcn,dga,2.857142857142857,2485.1428571428573,109.07692307692308,16.416666666666668,1.0,0.0,14.0,0.2727272727272727,0.0
v5zwkw1vlncjt11upaqi9h1bpg,dga,0.23076923076923078,1349.7692307692307,24.0,0.25,0.0,0.0,26.0,0.13043478260869565,0.23076923076923078
speeddemosarchive,legit,24.88235294117647,3644.0,288.125,27.733333333333334,3.142857142857143,0.6923076923076923,17.0,0.7,0.0
datanta,legit,51.0,4055.714285714286,528.8333333333334,51.0,6.75,0.0,7.0,0.75,0.0
andaluciainformacion,legit,37.95,3498.05,399.36842105263156,61.55555555555556,5.705882352941177,1.75,20.0,1.0,0.0
