domain,class,mcr,ns1,ns2,ns3,ns4,ns5,len,vcr,ncr
riddensummer,dga,42.0,3624.9166666666665,424.27272727272725,30.2,4.444444444444445,0.5,12.0,0.5,0.0
betterreason,dga,109.0,4380.166666666667,531.6363636363636,65.9,9.666666666666666,2.625,12.0,0.7142857142857143,0.0
schoolsevera,dga,33.0,3651.3333333333335,356.3636363636364,39.4,6.777777777777778,1.875,12.0,0.7142857142857143,0.0
largevalue,dga,16.2,3519.2,272.8888888888889,21.5,6.0,2.5,10.0,1.0,0.0
beingheard,dga,27.3,3560.5,447.0,115.875,2.4285714285714284,0.3333333333333333,10.0,0.6666666666666666,0.0
recordwelcome,dga,65.07692307692308,3573.4615384615386,378.0,38.45454545454545,5.8,2.111111111111111,13.0,0.625,0.0
listenfamily,dga,33.75,3408.9166666666665,409.27272727272725,41.7,6.777777777777778,2.25,12.0,0.5,0.0
goodbyeinstead,dga,24.0,3516.714285714286,344.6923076923077,25.916666666666668,3.272727272727273,0.7,14.0,0.75,0.0
differentpleasant,dga,88.41176470588235,3836.176470588235,470.875,60.8,7.714285714285714,3.230769230769231,17.0,0.5454545454545454,0.0
speakmaterial,dga,83.76923076923077,3775.0,470.1666666666667,80.54545454545455,8.1,1.8888888888888888,13.0,0.8571428571428571,0.0
captainconsider,dga,48.4,3847.266666666667,519.4285714285714,77.07692307692308,15.916666666666666,5.181818181818182,15.0,0.6666666666666666,0.0
frienddestroy,dga,50.07692307692308,3703.230769230769,430.4166666666667,55.72727272727273,5.3,1.7777777777777777,13.0,0.4444444444444444,0.0
doctorfinish,dga,53.75,3344.4166666666665,363.45454545454544,35.4,8.666666666666666,1.375,12.0,0.5,0.0
beautyclean,dga,13.636363636363637,3500.181818181818,277.2,17.77777777777778,3.0,0.8571428571428571,11.0,0.8333333333333334,0.0
listenbetter,dga,97.25,4293.916666666667,554.0909090909091,70.0,8.88888888888889,2.125,12.0,0.5,0.0
gardensupply,dga,29.75,3026.0,328.90909090909093,33.5,5.333333333333333,1.625,12.0,0.3333333333333333,0.0
becamecarry,dga,19.636363636363637,3464.4545454545455,291.9,18.333333333333332,2.25,0.5714285714285714,11.0,0.5714285714285714,0.0
welcomeseparate,dga,110.0,3898.6,473.2857142857143,64.53846153846153,10.083333333333334,2.727272727272727,15.0,0.875,0.0
subjecttwelve,dga,13.615384615384615,3091.846153846154,179.41666666666666,24.272727272727273,4.5,2.111111111111111,13.0,0.4444444444444444,0.0
trustsister,dga,54.0,4206.636363636364,536.6,75.22222222222223,12.25,3.2857142857142856,11.0,0.375,0.0
smelldelight,dga,27.25,3334.6666666666665,270.27272727272725,31.2,8.777777777777779,1.5,12.0,0.3333333333333333,0.0
considerseason,dga,122.35714285714286,4175.071428571428,564.0769230769231,97.83333333333333,18.727272727272727,7.2,14.0,0.75,0.0
historypretty,dga,38.30769230769231,3436.6153846153848,356.0833333333333,46.54545454545455,5.8,1.5555555555555556,13.0,0.3,0.0
